"Espesie",Species,Latin name,Density (kg/m^3),Wood movement (Nerviosidad),Dilatation %,Hardness,Price,Ease of supply,Decorative plates,Exterior Carpentry,Interior carpentry,Furniture and cabinet making,Malleability (Torneria escultura i talla),Sportive elements and tool handles,Musical Instruments,Saunas,Mock-ups
Abedul,Birch,Betula alba,640-670,2,11.4-17,3,1,E,X,,X,X,X,X,X,,
Abeto,Whitewood/Fir,Abies alba,440-480,2,12-15,2,1,E,X,,X,X,,,X,X,
Abeto rojo,Spruce,Picea abies,440-470,2,13-14,3,1,E,X,,X,X,,,X,,
Afrormosia,Afrormorsia,Afrormorsia elata,680-710,2,7.8-7.8,4,3,E,X,,X,X,X,,,,
Alerce,Larch,Larix europea,470-650,3,12-15,3,1,E,X,X,X,X,,,,,
Aliso,Alder,Alnus glutinosa,500-550,1,8.8-8.8,2,1,E,X,,,X,X,,,X,
Aliso americano,Red Alder,Alnus rubra,410-410,1,12-15,2,3,E,,,,X,,,,X,
Arce,Maple/Sycomore,Acer pseudoplatanus,610-680,2,,3,2,E,X,,X,X,X,X,X,,
Balsa,Balsa,Ochroma lagopus,140-160,1,,1,4,M,,,,,,,,,X
Bubinga,Bubinga,Guibourtia demeusei,700-910,3,14-14,4,3.5,E,X,X,X,X,X,,,,
Caoba,"Caoba, Africa",Khaya ivorensis,490-530,2,,2,3,E,X,X,X,X,,,,,
Caoba,"Caoba, America",Swietenia humilis,510-580,2,,3,4,M,X,X,X,X,X,X,X,,
Castano,Chesnut,Castanea sativa,540-650,1,8.2-11.9,2,2.5,M,X,X,X,X,,,,,
Castano Americano,"Chesnut, American",Castanea dentada,540-650,1,12-12,1,,,X,X,X,X,,,,,
Cerezo,"Cherry, European",Prunus avium,610-630,2,,3,2.5,E,X,,X,X,X,,,,
Chopo,White poplar,Populus alba,420-480,2,14.3-14.3,2,1,E,,,,X,,,X,X,
Ebano,"Ebony, African",Diospyros grassiflora,1030-1050,1,,5,3.5,D,X,,,X,X,X,X,,
Fresno europeo,"Ash, European",Fraxinus excelcior,680-750,3,19.1-19.1,3,2.5,E,X,,X,,,X,,,
Haya europea,"Beech, European",Fagus sylvatica,690-750,2.5,18.6-24.6,3,2.5,E,X,,X,X,X,,X,,
Haya americana,"Beech, American",Fagus grandifolia,640-640,2,17-17,3,3,E,X,,X,X,X,,,,
Hickory,Hickory,Carya ovata,790-830,3,16.7-16.7,4,3,M,X,,,,,X,,,
Iroko,Iroko,Chlorophora excelsa,630-670,2,10-10,3,3,E,,X,X,X,X,,,,
Jatoba,Jatoba,Hymenea courbaril,955-970,3,12.3-12.3,4,3,E,X,X,X,X,X,X,X,,
Merbau,Merbau,Intsia bijuga,730-830,2,,4,3.5,D,X,X,X,X,X,X,X,,
Nogal europeo,"Walnut, European",Juglans regia,630-680,1,9.1-9.1,3,4.5,E,X,,X,X,,,,,
Nogal americano,"Walnut, American",Juglans nigra,550-660,1,12.8-14,3,4,E,X,,X,X,X,X,X,,
Olivo,Oliver,Olea europea,850-1120,3,20-20,4,4,M,X,,X,X,X,,,,
Olmo,"Elm, American",Ulmus americana,530-530,2,16-16,4,3.5,M,X,,X,X,,X,,,
Olmo europeo,Common elm,Ulmus carpinifolia,630-680,2.5,12.8-12.8,3,1.5,D,X,,X,X,,,,,
Pino insignis,Radiata pine,Pinus radiata,500-500,2,14.5-14.5,3,1,E,,X,X,X,,,,,
Oregon pine,Douglas fir,Pseudotsuta menziesii,510-550,1.5,11-12.5,3,3.5,E,X,X,X,,,,,,
Pino Gallego,Seaside pine,Pinus pinaster,530-550,2,14.5-14.5,3,1.5,E,,,X,X,,,,,
Pino Silvestre,Redwood,Pinus sylvestris,500-540,1,12-15,3,1.5,E,X,X,X,X,,,,,
Ramin,Ramin,Gonystylus bancanus,560-670,3,13-13,3,3.5,M,X,X,X,X,X,,,,
Roble blanco americano,White oak,Quercus alba,670-770,2,16-16,3,3.5,E,X,,X,X,,X,X,,
Roble comun,Oak,Quercus robur,670-780,2,11.9-14.5,3,3,E,X,,X,X,,,,,
Roble japones,Japanese oak,Quercus grosseserrata,600-700,2,,4,4.5,D,X,,X,X,,,,,
Teca,Teak,Tectona grandis,650-750,1,7.9-7.9,3,5,D,X,X,X,X,X,,,,
Tilo ,Lime,Tilia cordata,520-560,1,8-8,1,2,M,,,X,X,X,,X,,
Wenge,Wenge,Millettia laurentii,780-900,3,,4.5,3.5,M,X,X,X,X,X,X,,,
